name	lat	lon	amenity	shop
Bindallı	38.6229002	34.8046911	restaurant	
Meandros	39.8949979	32.8720815	restaurant	
Gaga Manjero	39.8983974	32.8698606	restaurant	
Güler Yufka & Kadayıf	39.8836611	32.8544109		bakery
Göreme Restaurant	38.642986	34.8302552	restaurant	
Oneway	38.6432702	34.82907	restaurant	
Carrefour	39.8829083	32.8566848		convenience
My Mother's	38.64285	34.828639	restaurant	
Dibek	38.6425589	34.8290668	restaurant	
BİM	38.719625	34.8489788		supermarket
Damla Pastanesi	38.7184777	34.8473677	cafe	pastry
(isimsiz)	38.6304025	34.9104112	cafe	
(isimsiz)	38.6315707	34.9126487	cafe	
(isimsiz)	38.6312961	34.9134897	cafe	
(isimsiz)	38.6298268	34.9103321	cafe	
Gülcan	37.008695	27.2620826		bakery
alo24	37.0088198	27.2592577	restaurant	
Güllüdere Tea Garden	38.651077	34.8561783	cafe	
Flintstone	38.6442825	34.8331642	bar	
(isimsiz)	38.645766	34.8331889	restaurant	
Cafeteria	38.6557773	34.8461668	cafe	
Ağaçlı Turistik Tesisleri	38.3859945	33.9939611	restaurant	
Kapadokya Dinleme Tesisleri	39.1980675	33.0930159	restaurant	
Derviş Evi	38.6322762	34.8567419	restaurant	
(isimsiz)	38.6415762	34.8436754	cafe	
(isimsiz)	38.6428258	34.8406209	cafe	
Hansaray	38.6445588	34.8335722	restaurant	
(isimsiz)	38.6442037	34.8325283		convenience
Çiğ Köfte	38.7173811	34.8447096	fast_food	
(isimsiz)	38.6300378	34.9109397		supermarket
Merkez Pastanesi	38.6307887	34.9112362	cafe	
(isimsiz)	38.7176097	34.8428905	fast_food	
(isimsiz)	38.7171414	34.8439391	ice_cream	
(isimsiz)	36.856789	30.8693344		supermarket
Teras Cafe	38.6427144	34.8296383	restaurant	
Anatolia Kitchen	38.6428051	34.8294837	restaurant	
(isimsiz)	38.6525836	34.8603838	cafe	
Migros	37.7515367	27.4100658		supermarket
Yunus Cafe	36.7675719	31.3894899	cafe	
Asım'ın Yeri	38.6362439	34.9020123	bar	
Dimrit	38.6331572	34.9048005	restaurant	
Yacht Point	36.2631034	29.4144516	bar	
Trio	36.2629152	29.4146151	restaurant	
Aubergine	36.2627729	29.4147202	restaurant	
Indigo	36.2623442	29.4128547	restaurant	
Kleo	36.2618937	29.4160423	bar	
Sunset Restaraunt	36.2620756	29.4156932	restaurant	
Korsan	36.2621954	29.4157459	restaurant	
Kaya	36.2664838	29.4137686	bar	
Yali	36.2671496	29.412786		supermarket
Omar's Kitchen	36.2680027	29.4125336	cafe	
Tesko	36.2663188	29.4138974		supermarket
Atlantis	36.26611	29.4129461	restaurant	
Alternatif	36.2643745	29.4155297	restaurant	
Lounge Bistro	36.2656327	29.4130876	bar	
Bulut	36.2634973	29.4138952		convenience
Berzigan's Kitchen	36.2652756	29.4147878	bar	
Foto's Pizza	36.264995	29.4143127	fast_food	
Nur Pastaneleri	36.2678181	29.4127242	cafe	
Dunya Ice Cream	36.2660801	29.4126652	cafe	
Luka	36.2644817	29.417413	restaurant	
Mussakka	36.2651387	29.4149137	restaurant	
Nokta x100	36.2650487	29.4149506	bar	
Tomato Flower	36.2649071	29.41509	restaurant	
Doyum Restaurant	36.2648467	29.4151593	restaurant	
Akdeniz	36.2650171	29.4146093	restaurant	
Point	36.2645293	29.4154733	restaurant	
Moonlight Bar	36.2643096	29.4154983	bar	
Angels	36.2642309	29.4156421	restaurant	
Daphne	36.2637265	29.4148226	restaurant	
Sun Terrace	36.2638832	29.4152743	restaurant	
Paradise	36.713222	28.7032504	restaurant	
Kedi	38.6337716	34.9057277	bar	
McDonald's	39.89417	32.6794717	fast_food	
North Shield	39.8938418	32.6798575	pub	
Salata Mesa	39.893934	32.6797452	bar	
BİM	39.8934352	32.8474117		supermarket
PendikPark	40.881316	29.2328597		supermarket
Pierre Loti Kahvehanesi	41.0537075	28.9335372	cafe	
Helen & Paris Coffee Shop	39.9563419	26.249827	cafe	
(isimsiz)	36.531886	31.9916759	restaurant	
Mehmet Place	36.715113	28.2369584	restaurant	
Sofra	38.6311143	34.9119303	restaurant	
Micro	38.6303539	34.9111624	restaurant	
(isimsiz)	38.6306316	34.911689	restaurant	
(isimsiz)	38.630563	34.911412	restaurant	
Develili Deringöller Kiymali ve Kebab	38.629539	34.912932	restaurant	
Rivera Park Restaurant	36.5048543	30.4200294	restaurant	
(isimsiz)	36.2940734	30.3468689		convenience
Yalı Market	36.2914903	30.3451087		convenience
Eleni	38.583248	34.8970189	restaurant	
Karkay	40.0981798	29.1323844	cafe	
Altunbilekler	39.9780738	32.7085035		supermarket
Nevşehir Konağı	38.6189064	34.7044238	restaurant	
Beiliys Cafe	38.5835287	34.898713	cafe	
Anadolu Evi	38.5830381	34.8989144	restaurant	
Han Çırağan	38.6304609	34.9099978	restaurant	
Çağdaş Market	39.8518955	32.8477218		supermarket
Bakkal	39.853503	32.8474419		convenience
Kavurmalı Pide ve Kebap Salonu	39.8531702	32.8489255	restaurant	
(isimsiz)	37.0270846	28.3494727	restaurant	
(isimsiz)	36.591784	31.8573257	fast_food	
Java Studio Istanbul	41.0055966	28.9793175	cafe	
Tike Restaurant	40.2811813	28.933985	restaurant	
Panorama Cave	38.6432926	34.8284782	bar	
(isimsiz)	37.4625767	30.9103224	restaurant	
(isimsiz)	41.1743114	29.6037947	cafe	
(isimsiz)	41.1354436	29.089699	restaurant	
Iskele Restaurant	41.1217558	29.0708274	restaurant	
Sahil	38.7192926	34.8480343	restaurant	
Şok	38.7185937	34.8469171		supermarket
(isimsiz)	38.7182499	34.8477033	ice_cream	
Deniz Döner Kebap	38.7188386	34.8485987	fast_food	
Domino's	39.8937981	32.8036842	fast_food	
(isimsiz)	39.8937969	32.8039098	restaurant	
BİM	39.8926317	32.7982684		supermarket
Carrefour	39.8958345	32.7976085		supermarket
Arjantin	39.8937757	32.8032637	restaurant	
